C¢digo;Descriá∆o;Data In°cio;Data Fim;Ato Legal In°cio;N£mero;Ano
0209.10.29;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0209.90.00;- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
02.10;"Carnes e miudezas, comest°veis, salgadas ou em salmoura, secas ou defumadas (fumadas); farinhas e p¢s, comest°veis, de carnes ou de miudezas.";01/04/2022;31/12/9999;Res Camex;272;2021
0210.1;- Carnes da espÇcie su°na:;01/04/2022;31/12/9999;Res Camex;272;2021
0210.11.00;-- Pernas, p†s e respectivos pedaáos, n∆o desossados;01/04/2022;31/12/9999;Res Camex;272;2021
0210.12.00;-- Toucinhos entremeados (Barrigas (entremeadas)*) e seus pedaáos;01/04/2022;31/12/9999;Res Camex;272;2021
0210.19.00;-- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0210.20.00;- Carnes da espÇcie bovina;01/04/2022;31/12/9999;Res Camex;272;2021
0210.9;- Outras, incluindo as farinhas e p¢s, comest°veis, de carnes ou de miudezas:;01/04/2022;31/12/9999;Res Camex;272;2021
0210.91.00;-- De primatas;01/04/2022;31/12/9999;Res Camex;272;2021
0210.92.00;"-- De baleias, golfinhos e botos (mam°feros da ordem Cetacea); de peixes-boi (manatins) e dugongos (mam°feros da ordem Sirenia); de ot†rias e focas, le‰es-marinhos e morsas (mam°feros da subordem Pinnipedia)";01/04/2022;31/12/9999;Res Camex;272;2021
0210.93.00;-- De rÇpteis (incluindo as serpentes e as tartarugas marinhas);01/04/2022;31/12/9999;Res Camex;272;2021
0210.99;-- Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0210.99.1;Carnes de aves da posiá∆o 01.05;01/04/2022;31/12/9999;Res Camex;272;2021
0210.99.11;De galos e de galinhas;01/04/2022;31/12/9999;Res Camex;272;2021
0210.99.19;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0210.99.20;Carnes da espÇcie ovina;01/04/2022;31/12/9999;Res Camex;272;2021
0210.99.30;Carnes da espÇcie cavalar;01/04/2022;31/12/9999;Res Camex;272;2021
0210.99.40;Miudezas comest°veis;01/04/2022;31/12/9999;Res Camex;272;2021
0210.99.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
03;Peixes e crust†ceos, moluscos e outros invertebrados aqu†ticos.;01/04/2022;31/12/9999;Res Camex;272;2021
03.01;Peixes vivos.;01/04/2022;31/12/9999;Res Camex;272;2021
0301.1;- Peixes ornamentais:;01/04/2022;31/12/9999;Res Camex;272;2021
0301.11;-- De †gua doce;01/04/2022;31/12/9999;Res Camex;272;2021
0301.11.10;Aruan∆ (Osteoglossum bicirrhosum);01/04/2022;31/12/9999;Res Camex;272;2021
0301.11.90;Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0301.19.00;-- Outros;01/04/2022;31/12/9999;Res Camex;272;2021
0301.9;- Outros peixes vivos:;01/04/2022;31/12/9999;Res Camex;272;2021
0301.91;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);01/04/2022;31/12/9999;Res Camex;272;2021
0301.91.10;Para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
0301.91.90;Outras;01/04/2022;31/12/9999;Res Camex;272;2021
0301.92;-- Enguias (Anguilla spp.);01/04/2022;31/12/9999;Res Camex;272;2021
0301.92.10;Para reproduá∆o;01/04/2022;31/12/9999;Res Camex;272;2021
